DateTime,Symbol,Amount
2015-09-24T00:00:00.0000000+02:00,H2,-102.9
2015-09-24T00:00:00.0000000+02:00,O18,-14.08
2015-10-23T00:00:00.0000000+02:00,H2,-102.9
2015-10-23T00:00:00.0000000+02:00,O18,-14.03
2015-11-13T00:00:00.0000000+01:00,H2,-103.2
2015-11-13T00:00:00.0000000+01:00,O18,-14.06
2015-12-17T00:00:00.0000000+01:00,H2,-103.2
2015-12-17T00:00:00.0000000+01:00,O18,-14.06
2016-01-11T00:00:00.0000000+01:00,H2,-101.56
2016-01-11T00:00:00.0000000+01:00,O18,-13.96
2016-02-08T00:00:00.0000000+01:00,H2,-101.81
2016-02-08T00:00:00.0000000+01:00,O18,-13.97
2016-03-07T00:00:00.0000000+01:00,H2,-103.73
2016-03-07T00:00:00.0000000+01:00,O18,-14.07
2016-04-08T00:00:00.0000000+02:00,H2,-103.33
2016-04-08T00:00:00.0000000+02:00,O18,-14.06
2016-05-02T12:00:00.0000000+02:00,H2,-103.33
2016-05-02T12:00:00.0000000+02:00,O18,-14.05
2016-05-31T00:00:00.0000000+02:00,H2,-106.51
2016-05-31T00:00:00.0000000+02:00,O18,-14.5
2016-06-27T12:00:00.0000000+02:00,H2,-106.43
2016-06-27T12:00:00.0000000+02:00,O18,-14.76
2016-07-25T00:00:00.0000000+02:00,H2,-105.35
2016-07-25T00:00:00.0000000+02:00,O18,-14.51
2016-08-22T00:00:00.0000000+02:00,H2,-105.76
2016-08-22T00:00:00.0000000+02:00,O18,-14.57
2016-09-19T00:00:00.0000000+02:00,H2,-105.19
2016-09-19T00:00:00.0000000+02:00,O18,-14.63
2016-10-17T00:00:00.0000000+02:00,H2,-102.83
2016-10-17T00:00:00.0000000+02:00,O18,-14.27
2016-11-14T00:00:00.0000000+01:00,H2,-102.08
2016-11-14T00:00:00.0000000+01:00,O18,-14.04
2016-12-12T00:00:00.0000000+01:00,H2,-104.45
2016-12-12T00:00:00.0000000+01:00,O18,-14.4
2017-01-09T00:00:00.0000000+01:00,H2,-106.4
2017-01-09T00:00:00.0000000+01:00,O18,-14.42
2017-02-06T00:00:00.0000000+01:00,H2,-106.6
2017-02-06T00:00:00.0000000+01:00,O18,-14.34
2017-03-06T00:00:00.0000000+01:00,H2,-102.8
2017-03-06T00:00:00.0000000+01:00,O18,-13.95
2017-04-03T00:00:00.0000000+02:00,H2,-102.8
2017-04-03T00:00:00.0000000+02:00,O18,-13.97
2017-05-01T00:00:00.0000000+02:00,H2,-102.7
2017-05-01T00:00:00.0000000+02:00,O18,-14.04
2017-05-29T00:00:00.0000000+02:00,H2,-105.5
2017-05-29T00:00:00.0000000+02:00,O18,-14.54
2017-06-26T00:00:00.0000000+02:00,H2,-97.5
2017-06-26T00:00:00.0000000+02:00,O18,-13.61
2017-07-24T00:00:00.0000000+02:00,H2,-103.9
2017-07-24T00:00:00.0000000+02:00,O18,-14.27
2017-08-21T00:00:00.0000000+02:00,H2,-99.2
2017-08-21T00:00:00.0000000+02:00,O18,-13.75
2017-09-18T00:00:00.0000000+02:00,H2,-100.6
2017-09-18T00:00:00.0000000+02:00,O18,-13.74
2017-10-16T00:00:00.0000000+02:00,H2,-100.3
2017-10-16T00:00:00.0000000+02:00,O18,-13.7
2017-11-13T00:00:00.0000000+01:00,H2,-100.4
2017-11-13T00:00:00.0000000+01:00,O18,-13.9
2017-12-12T00:00:00.0000000+01:00,H2,-101.7
2017-12-12T00:00:00.0000000+01:00,O18,-13.86
2018-01-10T00:00:00.0000000+01:00,H2,-99.4
2018-01-10T00:00:00.0000000+01:00,O18,-13.71
2018-03-07T00:00:00.0000000+01:00,H2,-96.6
2018-03-07T00:00:00.0000000+01:00,O18,-13.38
2018-04-03T00:00:00.0000000+02:00,H2,-97.9
2018-04-03T00:00:00.0000000+02:00,O18,-13.68
2018-05-01T00:00:00.0000000+02:00,H2,-100.5
2018-05-01T00:00:00.0000000+02:00,O18,-13.96
2018-05-29T00:00:00.0000000+02:00,H2,-103.8
2018-05-29T00:00:00.0000000+02:00,O18,-14.43
2018-06-25T00:00:00.0000000+02:00,H2,-104.4
