date,meta,depth,SWP,SWPt
2016-04-19,control,10,-65.72833333333334,-65.72833333333334
2016-04-20,control,10,-72.56,-72.56
2016-04-21,control,10,-83.34,-83.34
2016-04-22,control,10,-96.63833333333334,-96.63833333333334
2016-04-23,control,10,-65.235,-65.235
2016-04-24,control,10,-48.645,-48.645
2016-04-25,control,10,-44.455,-44.455
2016-04-26,control,10,-42.95666666666667,-42.95666666666667
2016-04-27,control,10,-46.553333333333335,-46.553333333333335
2016-04-28,control,10,-51.665,-51.665
2016-04-29,control,10,-61.635,-61.635
2016-04-30,control,10,-72.54166666666667,-72.54166666666667
2016-05-01,control,10,-75.43666666666667,-75.43666666666667
2016-05-02,control,10,-77.99333333333334,-77.99333333333334
2016-05-03,control,10,-84.35,-84.35
2016-05-04,control,10,-92.41833333333334,-92.41833333333334
2016-05-05,control,10,-107.595,-107.595
2016-05-06,control,10,-131.38166666666666,-131.38166666666666
2016-05-07,control,10,-164.52666666666667,-164.52666666666667
2016-05-08,control,10,-206.505,-206.505
2016-05-09,control,10,-253.35333333333332,-253.35333333333332
2016-05-10,control,10,-337.8283333333333,-337.8283333333333
2016-05-11,control,10,-418.0083333333333,-418.0083333333333
2016-05-12,control,10,-449.00166666666667,-449.00166666666667
2016-05-13,control,10,-131.85833333333335,-131.85833333333335
2016-05-14,control,10,-15.141666666666666,-15.141666666666666
2016-05-15,control,10,-20.698333333333334,-20.698333333333334
2016-05-16,control,10,-26.348333333333333,-26.348333333333333
2016-05-17,control,10,-33.413333333333334,-33.413333333333334
2016-05-18,control,10,-43.276666666666664,-43.276666666666664
2016-05-19,control,10,-51.61666666666667,-51.61666666666667
2016-05-20,control,10,-60.975,-60.975
2016-05-21,control,10,-86.975,-86.975
2016-05-22,control,10,-122.03833333333333,-122.03833333333333
2016-05-23,control,10,-111.34166666666667,-111.34166666666667
2016-05-24,control,10,-56.11,-56.11
2016-05-25,control,10,-31.59166666666667,-31.59166666666667
2016-05-26,control,10,-36.94833333333333,-36.94833333333333
2016-05-27,control,10,-47.63,-47.63
2016-05-28,control,10,-66.93,-66.93
2016-05-29,control,10,-48.361666666666665,-48.361666666666665
2016-05-30,control,10,-10.833333333333334,-10.833333333333334
2016-05-31,control,10,-13.675,-13.675
2016-06-01,control,10,-19.423333333333332,-19.423333333333332
2016-06-02,control,10,-22.831666666666667,-22.831666666666667
2016-06-03,control,10,-25.161666666666665,-25.161666666666665
2016-06-04,control,10,-29.248333333333335,-29.248333333333335
2016-06-05,control,10,-36.016666666666666,-36.016666666666666
2016-06-06,control,10,-45.77166666666667,-45.77166666666667
2016-06-07,control,10,-62.001666666666665,-62.001666666666665
2016-06-08,control,10,-86.965,-86.965
2016-06-09,control,10,-103.68,-103.68
2016-06-10,control,10,-141.46333333333334,-141.46333333333334
2016-06-11,control,10,-187.60500000000002,-187.60500000000002
