date,Treatment,Total_Sap_Flow
2024-08-19,roof,0.35494810744427935
2024-08-19,roof_vpd,0.2953041309183181
2024-08-20,control,0.5030148533233119
2024-08-20,irrigation,1.2821260148911324
2024-08-20,irrigation_vpd,1.1532971315141758
2024-08-20,roof,0.34728105865620684
2024-08-20,roof_vpd,0.3069905238826944
2024-08-21,control,0.4947303750632471
2024-08-21,irrigation,1.2776947858555967
2024-08-21,irrigation_vpd,1.1402599086571068
2024-08-21,roof,0.3321197882349253
2024-08-21,roof_vpd,0.3010045431626502
2024-08-22,control,0.45815746966490994
2024-08-22,irrigation,1.2501693762701052
2024-08-22,irrigation_vpd,1.1340902906348878
2024-08-22,roof,0.28776470068423077
2024-08-22,roof_vpd,0.2842226338128128
2024-08-23,control,0.4507058636111034
2024-08-23,irrigation,1.3332423308333405
2024-08-23,irrigation_vpd,1.2286485916470495
2024-08-23,roof,0.25966691281812887
2024-08-23,roof_vpd,0.2702744219351241
2024-08-24,control,0.4398323208480461
2024-08-24,irrigation,1.3889984016279222
2024-08-24,irrigation_vpd,1.3067529713555224
2024-08-24,roof,0.23002101731184005
2024-08-24,roof_vpd,0.25206685533879764
2024-08-25,control,0.3167052616835456
2024-08-25,irrigation,0.867310780006754
2024-08-25,irrigation_vpd,0.7167070351351642
2024-08-25,roof,0.1917582059347893
2024-08-25,roof_vpd,0.16807242706208284
2024-08-26,control,0.3698449978846502
2024-08-26,irrigation,1.1484879063083209
2024-08-26,irrigation_vpd,0.9779400542460057
2024-08-26,roof,0.20447239389703073
2024-08-26,roof_vpd,0.2068870345048558
2024-08-27,control,0.3703298611210795
2024-08-27,irrigation,1.292578465977015
2024-08-27,irrigation_vpd,1.1779242515859032
2024-08-27,roof,0.1881844542659518
2024-08-27,roof_vpd,0.21111563530525046
2024-08-28,control,0.3369883585194594
2024-08-28,irrigation,1.345384355071388
2024-08-28,irrigation_vpd,1.2368071352388084
2024-08-28,roof,0.16488735386860434
2024-08-28,roof_vpd,0.19069854438454772
2024-08-29,control,0.2935657362739661
2024-08-29,irrigation,1.2862527230864018
2024-08-29,irrigation_vpd,1.1708685235828262
2024-08-29,roof,0.14507208053275591
2024-08-29,roof_vpd,0.16739310833253562
2024-08-30,control,0.27556474796024555
2024-08-30,irrigation,1.318400568960235
2024-08-30,irrigation_vpd,1.2090362722717445
2024-08-30,roof,0.13724477807369834
2024-08-30,roof_vpd,0.1595636351406119
2024-08-31,control,0.2510324073981219
2024-08-31,irrigation,1.288142572354234
2024-08-31,irrigation_vpd,1.1933715002141816
2024-08-31,roof,0.12935911056744592
2024-08-31,roof_vpd,0.14965962551335354
2024-09-01,control,0.22082545345240023
2024-09-01,irrigation,1.2337274393668227
2024-09-01,irrigation_vpd,1.1523819562268516
2024-09-01,roof,0.11464398998682729
2024-09-01,roof_vpd,0.13206506013444486
2024-09-02,control,0.18153919865609056
2024-09-02,irrigation,0.982703617477271
2024-09-02,irrigation_vpd,0.8012715299251187
2024-09-02,roof,0.11588262032902981
2024-09-02,roof_vpd,0.10610118369670068
2024-09-03,control,0.19210935130065132
2024-09-03,irrigation,1.1701071669377672
2024-09-03,irrigation_vpd,0.99494018844409
2024-09-03,roof,0.10921305267939663
2024-09-03,roof_vpd,0.11901721147011257
2024-09-04,control,0.15240385768153247
2024-09-04,irrigation,0.8051508108518246
2024-09-04,irrigation_vpd,0.7000221608481316
2024-09-04,roof,0.10283364147995995
2024-09-04,roof_vpd,0.0931799297099726
2024-09-05,control,0.14224160122953083
2024-09-05,irrigation,0.49052217427537465
2024-09-05,irrigation_vpd,0.44414654061474856
2024-09-05,roof,0.09939563942838613
2024-09-05,roof_vpd,0.08734362322073577
2024-09-06,control,0.38561556369581473
2024-09-06,irrigation,1.202998937547296
2024-09-06,irrigation_vpd,1.09794287274578
2024-09-06,roof,0.24164842893551694
2024-09-06,roof_vpd,0.20833860851868446
2024-09-07,control,0.3726685182889264
2024-09-07,irrigation,1.3014124681223351
2024-09-07,irrigation_vpd,1.1819283096294115
2024-09-07,roof,0.22751897318429193
2024-09-07,roof_vpd,0.20675807691225923
2024-09-08,control,0.1135869999339934
2024-09-08,irrigation,0.2887698953290663
2024-09-08,irrigation_vpd,0.23773232556260648
2024-09-08,roof,0.07438620416467814
2024-09-08,roof_vpd,0.06742201598455903
2024-09-09,control,0.09460559146296435
2024-09-09,irrigation,0.14758785522515117
2024-09-09,irrigation_vpd,0.14737085076757697
2024-09-09,roof,0.0677147128681719
2024-09-09,roof_vpd,0.05643281031094657
2024-09-10,control,0.48098783168044956
2024-09-10,irrigation,1.1141419291955394
2024-09-10,irrigation_vpd,0.9950318780019208
2024-09-10,roof,0.35607112391808027
2024-09-10,roof_vpd,0.30274596133451137
2024-09-11,control,0.2774826432698597
2024-09-11,irrigation,0.6462430696383028
2024-09-11,irrigation_vpd,0.5947394209519111
2024-09-11,roof,0.2203894735106316
2024-09-11,roof_vpd,0.20461550073577567
2024-09-12,control,0.3849440102757949
2024-09-12,irrigation,1.006187054257251
2024-09-12,irrigation_vpd,0.8345457755901501
2024-09-12,roof,0.29170120794463594
2024-09-12,roof_vpd,0.25048547783895436
2024-09-13,control,0.2563584616290664
2024-09-13,irrigation,0.7589817817343558
2024-09-13,irrigation_vpd,0.5993997486519623
2024-09-13,roof,0.19183256021083428
2024-09-13,roof_vpd,0.15955096603925983
2024-09-14,control,0.3407049133575507
2024-09-14,irrigation,0.9263816957521354
2024-09-14,irrigation_vpd,0.7504338130032068
2024-09-14,roof,0.24163928436885185
2024-09-14,roof_vpd,0.21656622643926848
2024-09-15,control,0.37386816664136874
2024-09-15,irrigation,0.9512373655053018
2024-09-15,irrigation_vpd,0.817423821762911
2024-09-15,roof,0.2594161427514237
2024-09-15,roof_vpd,0.23604140379072713
2024-09-16,control,0.26403153050498557
2024-09-16,irrigation,0.6888936029619472
2024-09-16,irrigation_vpd,0.57966491581012
2024-09-16,roof,0.1771989424348196
2024-09-16,roof_vpd,0.17585513218925736
2024-09-17,control,0.39076836049659613
2024-09-17,irrigation,0.9879554069941787
2024-09-17,irrigation_vpd,0.8580938366197794
2024-09-17,roof,0.2499044265087314
2024-09-17,roof_vpd,0.2477447259676774
2024-09-18,control,0.3721768115905977
2024-09-18,irrigation,0.9445704452501196
2024-09-18,irrigation_vpd,0.8362630347541272
2024-09-18,roof,0.2293866311524938
2024-09-18,roof_vpd,0.22903861420846802
2024-09-19,control,0.3379619689202488
2024-09-19,irrigation,0.8635688278146975
2024-09-19,irrigation_vpd,0.7638683551268681
2024-09-19,roof,0.1971637727979258
2024-09-19,roof_vpd,0.2091861826212289
2024-09-20,control,0.3877090083062644
2024-09-20,irrigation,1.0482538317767145
2024-09-20,irrigation_vpd,0.9083637679499158
2024-09-20,roof,0.21396374199058785
2024-09-20,roof_vpd,0.22851940789403216
2024-09-21,control,0.4188352614932384
2024-09-21,irrigation,1.1788069278523265
2024-09-21,irrigation_vpd,1.0254042768453369
2024-09-21,roof,0.21759941202615485
2024-09-21,roof_vpd,0.23031542119869716
2024-09-22,control,0.33443590479734037
2024-09-22,irrigation,1.0119290671136747
2024-09-22,irrigation_vpd,0.8515311371811807
2024-09-22,roof,0.17330048457372046
2024-09-22,roof_vpd,0.18063025959674167
2024-09-23,control,0.06538485462477654
2024-09-23,irrigation,0.09611885475963666
2024-09-23,irrigation_vpd,0.08972731030259844
2024-09-23,roof,0.04098906819995953
2024-09-23,roof_vpd,0.03570182706358578
2024-09-24,control,0.31004145114869813
2024-09-24,irrigation,0.7960888522505414
2024-09-24,irrigation_vpd,0.6700366044055196
2024-09-24,roof,0.16383328396346256
2024-09-24,roof_vpd,0.15829251730498636
2024-09-25,control,0.31873095160279563
2024-09-25,irrigation,0.8500690177593605
2024-09-25,irrigation_vpd,0.7678023641734213
2024-09-25,roof,0.16556441394098742
2024-09-25,roof_vpd,0.16841341668297508
2024-09-26,control,0.049458163936027096
2024-09-26,irrigation,0.05218689172559531
2024-09-26,irrigation_vpd,0.053628640381235874
2024-09-26,roof,0.03826526773802813
2024-09-26,roof_vpd,0.03278896533059823
2024-09-27,control,0.28457549415975
2024-09-27,irrigation,0.5158172924273026
2024-09-27,irrigation_vpd,0.4811701074751777
2024-09-27,roof,0.19760134155693634
2024-09-27,roof_vpd,0.18268587822584115
2024-09-28,control,0.2785897251350684
2024-09-28,irrigation,0.5047404223699906
2024-09-28,irrigation_vpd,0.4682401174752986
2024-09-28,roof,0.20798752050642672
2024-09-28,roof_vpd,0.18730197752155484
2024-09-29,control,0.4457045832846491
2024-09-29,irrigation,0.7827189692858085
2024-09-29,irrigation_vpd,0.7218601967673841
2024-09-29,roof,0.3211141804667547
2024-09-29,roof_vpd,0.3064031560133828
2024-09-30,control,0.48476043880740516
2024-09-30,irrigation,0.9825213293755278
2024-09-30,irrigation_vpd,0.880541950502555
2024-09-30,roof,0.36293181032908944
2024-09-30,roof_vpd,0.35454422083803544
2024-10-01,control,0.04347770371691931
2024-10-01,irrigation,0.09079211698116799
2024-10-01,irrigation_vpd,0.07318032817333843
2024-10-01,roof,0.03089387007274452
2024-10-01,roof_vpd,0.025221301076371563
2024-10-02,control,0.4337567321942542
2024-10-02,irrigation,0.7397065971750176
2024-10-02,irrigation_vpd,0.552443337052899
2024-10-02,roof,0.33765681672696124
2024-10-02,roof_vpd,0.2862375032318597
2024-10-03,control,0.1947183731264747
2024-10-03,irrigation,0.3279235278633477
2024-10-03,irrigation_vpd,0.3218718063775016
2024-10-03,roof,0.1456900979783325
2024-10-03,roof_vpd,0.13702851360011706
2024-10-04,control,0.38796074300028205
2024-10-04,irrigation,0.6884553394431123
2024-10-04,irrigation_vpd,0.5480515014447972
2024-10-04,roof,0.33508444838839446
2024-10-04,roof_vpd,0.23679750887599052
2024-10-05,control,0.4441471088433444
2024-10-05,irrigation,0.727439671269069
2024-10-05,irrigation_vpd,0.6814579774637737
2024-10-05,roof,0.38051197076238574
2024-10-05,roof_vpd,0.30022598425996616
2024-10-06,control,0.2500523319366695
2024-10-06,irrigation,0.38451075169566284
2024-10-06,irrigation_vpd,0.3990643180225191
2024-10-06,roof,0.20099651841078386
2024-10-06,roof_vpd,0.17712081553255699
2024-10-07,control,0.4571169503940449
2024-10-07,irrigation,0.8225052232041449
2024-10-07,irrigation_vpd,0.7219309599209
2024-10-07,roof,0.38790523369682184
2024-10-07,roof_vpd,0.3309640213912528
2024-10-08,control,0.05832184639941032
2024-10-08,irrigation,0.10720524753031116
2024-10-08,irrigation_vpd,0.08271889265557597
2024-10-08,roof,0.04098021580669905
2024-10-08,roof_vpd,0.03348666441959441
2024-10-09,control,0.4039128553795097
2024-10-09,irrigation,0.6605524145722631
2024-10-09,irrigation_vpd,0.5854103635672758
2024-10-09,roof,0.32190878773991843
2024-10-09,roof_vpd,0.28547823455957844
2024-10-10,control,0.4359604316028004
2024-10-10,irrigation,0.7209874276478714
2024-10-10,irrigation_vpd,0.5848135282283995
2024-10-10,roof,0.4040012448958487
2024-10-10,roof_vpd,0.28443705811670456
2024-10-11,control,0.45953586295151294
2024-10-11,irrigation,0.7106192572877192
2024-10-11,irrigation_vpd,0.6314302758979177
2024-10-11,roof,0.40580652058514577
2024-10-11,roof_vpd,0.32861127944201735
2024-10-12,control,0.36304516731629183
2024-10-12,irrigation,0.5120083990179156
2024-10-12,irrigation_vpd,0.5479808194018542
2024-10-12,roof,0.2922134817973408
2024-10-12,roof_vpd,0.25776903446981664
2024-10-13,control,0.036879078465338416
2024-10-13,irrigation,0.04733262155944317
2024-10-13,irrigation_vpd,0.05088430455693723
2024-10-13,roof,0.025384376424041722
2024-10-13,roof_vpd,0.01849302515238981
2024-10-14,control,0.0338967325249475
2024-10-14,irrigation,0.03450996138883149
2024-10-14,irrigation_vpd,0.049420831476352754
2024-10-14,roof,0.025141635276478093
2024-10-14,roof_vpd,0.011404746100602282
2024-10-15,control,0.2301006970766716
2024-10-15,irrigation,0.29352671123196716
2024-10-15,irrigation_vpd,0.2955321488360828
2024-10-15,roof,0.20716792095952793
2024-10-15,roof_vpd,0.17802522359068568
2024-10-16,control,0.5690386860923458
2024-10-16,irrigation,0.8681180772557469
2024-10-16,irrigation_vpd,0.770158280748835
2024-10-16,roof,0.5015966187084054
