date,scenario,sf
2011-12-08,irrigation stop,0.062065547
2011-12-09,control,0.07809612366666666
2011-12-09,irrigation stop,0.12323495883333334
2011-12-10,control,0.077709704
2011-12-10,irrigation stop,0.1223259115
2011-12-11,control,0.07732162041666667
2011-12-11,irrigation stop,0.121403677
2011-12-12,control,0.07693186175
2011-12-12,irrigation stop,0.1204679745
2011-12-13,control,0.07654041833333333
2011-12-13,irrigation stop,0.11951851966666667
2011-12-14,control,0.07614727916666666
2011-12-14,irrigation stop,0.11855501566666667
2011-12-15,control,0.07575243858333333
2011-12-16,control,0.07535588574999999
2011-12-17,control,0.07495761183333333
2011-12-18,control,0.07455760366666667
2011-12-19,control,0.07415585908333333
2011-12-20,control,0.0737523615
2011-12-21,control,0.073347105
2011-12-22,control,0.07294008116666667
2011-12-23,control,0.07253127658333333
2011-12-24,control,0.07212068533333334
2011-12-25,control,0.07170829558333333
2011-12-26,control,0.07129409941666667
2011-12-27,control,0.070878087
2011-12-28,control,0.070460248
2011-12-29,control,0.07004057225
2011-12-30,control,0.06961905183333333
2011-12-31,control,0.0691956755
2012-01-01,control,0.06877043491666666
2012-01-02,control,0.06834332008333333
2012-01-03,control,0.06791432116666667
2012-01-04,control,0.06748342808333332
2012-01-05,control,0.06705063208333334
2012-01-06,control,0.06661592399999999
2012-01-07,control,0.06617929225
2012-01-08,control,0.06574072958333334
2012-01-09,control,0.06530022375
2012-01-10,control,0.06485776933333334
2012-01-11,control,0.06441335233333334
2012-01-12,control,0.063966965
2012-01-13,control,0.0635185995
2012-01-14,control,0.06306824391666667
2012-01-15,control,0.06261589125
2012-01-16,control,0.06216152983333334
2012-01-17,control,0.061705152750000006
2012-01-18,control,0.061246748833333337
2012-01-19,control,0.06078631166666666
2012-01-20,control,0.060323828583333336
2012-01-21,control,0.05985929291666667
2012-01-22,control,0.05939269516666667
2012-01-23,control,0.05892402708333333
2012-01-24,control,0.05845327941666667
2012-01-25,control,0.057980444166666666
2012-01-26,control,0.057505511583333335
2012-01-27,control,0.05702847466666666
2012-01-28,control,0.056549324916666664
2012-01-29,control,0.05606805358333333
2012-01-30,control,0.05558465383333333
2012-01-31,control,0.055099116833333336
2012-02-01,control,0.05461143608333333
2012-02-02,control,0.05412160433333334
2012-02-03,control,0.05362961258333333
2012-02-04,control,0.05313545391666667
2012-02-05,control,0.05263912425
2012-02-06,control,0.05214061366666667
2012-02-07,control,0.05163991925
2012-02-08,control,0.051137032250000006
2012-02-09,control,0.050631948583333336
2012-02-10,control,0.050124661749999994
2012-02-11,control,0.04961516691666666
2012-02-12,control,0.04910345941666666
2012-02-13,control,0.04858953483333334
2012-02-14,control,0.048073389
2012-02-15,control,0.047555018416666664
2012-02-16,control,0.04703441875
2012-02-17,control,0.046511589500000006
2012-02-18,control,0.04598652575
2012-02-19,control,0.04545922675
2012-02-20,control,0.044929691
2012-02-21,control,0.044397918833333334
2012-02-22,control,0.043863908416666667
2012-02-23,control,0.04332766091666666
2012-02-24,control,0.04278917791666667
