Date,TreeNr,Time,LWP1_bar,LWP2_bar,LWP3_bar,Method,LWP_mean,TWD,gs,sapflow,PRI,SMP_1cm,SMP_20cm,SMP_80cm,SMP_110cm,SMP_160cm,SMP_mean,VPD_kPa,pd_md
2022-08-13,13,12:45:00,37,37,38,unbagged,37.3,399,34.725,,,,,,,,,,md
2022-11-02,13,11:16:00,19,19,19,unbagged,19,,,,,,,,,,,,md
2021-06-01,14,07:09:00,5,5,5,bagged,5,,,,,,,,,,,,md
2021-06-01,14,09:08:00,6,6,6,bagged,6,,,,,,,,,,,,md
2021-06-01,14,11:35:00,9,9,8,bagged,8.7,235,242.6,,,,,,,,,,md
2021-06-01,14,14:15:00,9,9,10,bagged,9.3,,,,,,,,,,,,md
2021-06-01,14,17:04:00,7,7,8,bagged,7.3,,,,,,,,,,,,md
2021-06-01,14,02:45:00,4,4,5,unbagged,4.3,217,,,,,,,,,,,pd
2021-06-01,14,07:10:00,7,7,8,unbagged,7.3,,,,,,,,,,,,md
2021-06-01,14,09:05:00,9,9,10,unbagged,9.3,,,,,,,,,,,,md
2021-06-01,14,11:32:00,12,11,11,unbagged,11.3,235,242.6,,,,,,,,,,md
2021-06-01,14,14:10:00,13,15,15,unbagged,14.3,,,,,,,,,,,,md
2021-06-01,14,17:02:00,7,8,9,unbagged,8,,,,,,,,,,,,md
2021-07-21,14,08:05:00,3,4,4,bagged,3.7,,,,,,,,,,,,md
2021-07-21,14,11:31:00,7,7,7,bagged,7,268,402.6,,,,,,,,,,md
2021-07-21,14,14:26:00,7,8,9,bagged,8,,,,,,,,,,,,md
2021-07-21,14,16:19:00,7,7,7,bagged,7,,,,,,,,,,,,md
2021-07-21,14,03:00:00,3,3,4,unbagged,3.3,258,,,,,,,,,,,pd
2021-07-21,14,08:13:00,5,5,6,unbagged,5.3,,,,,,,,,,,,md
2021-07-21,14,11:40:00,13,14,17,unbagged,14.7,268,402.6,,,,,,,,,,md
2021-07-21,14,14:32:00,15,16,16,unbagged,15.7,,,,,,,,,,,,md
2021-07-21,14,16:27:00,14,18,19,unbagged,17,,,,,,,,,,,,md
2021-08-26,14,11:28:00,16,16,16,bagged,16,335,423.5,,,,,,,,,,md
