scen,twd_pd_cor,lwp_pd_cor,twd_md_cor,lwp_md_cor,min_pd_psi,min_md_psi,plfl_mean,plfl_max
3326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3327,-0.7439087435317419,0.6547430137591781,-0.7799846467315134,0.8050881683546828,-1874.9499307440128,-1874.9499780591004,0.3757165601851139,2.51882579735812
3328,-0.7219870415425081,0.6237602219880942,-0.7537286959627885,0.779908196550008,-1832.865956253507,-1832.865956253507,0.45891944477444746,3.32076777206726
3329,-0.7021628079924794,0.606512639309174,-0.7566094745652963,0.7739083189997839,-668.803418803421,-668.803418803421,0.47596929459820014,1.4368658666311966
3330,-0.7558562078154466,0.6588133990539343,-0.7975638844277928,0.8208012772130345,-2120.254225022978,-2141.4517637670574,0.42752395570603013,2.7210711090050133
3331,-0.6784494748086857,0.5931780802740644,-0.7466631863859297,0.7638348606693497,-594.8238677210644,-594.8238677210644,0.23585790259493503,1.087790910841412
3332,-0.7080950495566384,0.6788653040960068,-0.7001757239262785,0.7188260799423084,-4521.131042870177,-4521.131042870178,0.7041713483517271,1.487000000000001
3333,-0.7311125092006088,0.6363207360013188,-0.7797975653601192,0.8008224348834622,-1471.7561521252824,-1471.7561521252824,0.20222675204461232,1.5737754827382306
3334,-0.7214037880367784,0.6245371736329206,-0.7715125631235997,0.7907641153588206,-1239.1436073520522,-1239.1436073520522,0.4446709349584175,2.7285932647758915
3335,-0.7300680410285407,0.6294093553061484,-0.7804024744902004,0.7995787165472671,-1069.9844479004685,-1069.9844479004687,0.6458085972002547,2.224128733978114
3336,-0.7476772865173273,0.655309396592154,-0.7577243959535515,0.7847247674355282,-3113.9489194499106,-3113.9489194499106,0.7102572270806753,4.104994702199416
3337,-0.7527109384318855,0.6650124030922356,-0.798740479325643,0.8202792569719168,-1617.949999404284,-1617.9500277727018,0.2973943074050282,2.0106822971191103
3338,-0.7541078313631856,0.6494388131196704,-0.7899356377100228,0.8148477910815095,-3482.2075303646448,-3579.226003619617,0.5583817277617836,3.6409584093200613
3339,-0.7269854997151335,0.651662560672818,-0.7755710537947804,0.7995246550058376,-4649.540471708565,-4649.540471708569,1.081461348388338,4.199000000000001
3340,-0.6545647924109023,0.5395815163712823,-0.6604299158374336,0.6794948638276074,-4544.545718711963,-4558.3937909741935,0.4691603142918817,2.436005641896687
3341,-0.7664321216027874,0.6747575655827309,-0.779237169078866,0.8040482181930438,-3575.0000000000105,-3575.0000000000105,0.3905746630982202,2.8551730552901344
3342,-0.7514097053303314,0.6698852439259674,-0.7796123816851301,0.8064677240587271,-2222.900637648034,-2222.910861983449,0.2901840259414055,2.05626702767781
3343,-0.7345147983848898,0.6381123392005774,-0.7847774428160409,0.8050388845415417,-1449.3884436946514,-1449.3884436946514,0.29614095313151767,1.91456288755264
3344,-0.7133877155232927,0.6206443282697428,-0.748797045452077,0.7739990069435944,-1566.8818161584697,-1566.8818161584697,0.34303297448100084,2.4760223781710433
3345,-0.6881302800650134,0.6072346863929451,-0.743300614604925,0.761580754116168,-796.2193601994182,-796.2193601994182,0.11368786165796302,1.0228215153979772
3346,-0.46141464838891133,0.40608939038056907,-0.4819594714945421,0.4876385328323479,-156.38712823013182,-156.38712823013182,0.10731982937981954,0.4152320921254135
3347,-0.7456180536652639,0.661467939335135,-0.776400519928773,0.8028662832364728,-2032.9008734236527,-2032.925262909391,0.3303506812886642,2.1176180745502924
3348,-0.723665011272047,0.6325115983502687,-0.7334648938614039,0.76043531884969,-2359.377011198356,-2359.377011198356,0.4374975037627538,3.4884086273668338
3349,-0.6782546874720916,0.5657933223641387,-0.6973762846973185,0.7172463437418803,-6759.554862781639,-6759.554862781639,0.9726343167239695,4.359953170209277
3350,-0.7579052176965186,0.6627175811538442,-0.7906411239544225,0.8166342093093182,-2502.031206644575,-2502.0312066445754,0.3351241050773374,2.407711603236967
3351,-0.7216511055729485,0.6251484016109118,-0.77647317154761,0.7946424469596125,-1131.932409012132,-1131.932409012132,0.47298285833236287,2.749425427694953
3352,-0.7095235495725033,0.6172203878809501,-0.7415498577507136,0.7676308749342741,-1588.9168765743086,-1588.9168765743086,0.3614909399634445,2.630106488207797
3353,-0.6600635080146999,0.6019597716282732,-0.6095894254188746,0.6385368201121048,-1713.2754741240776,-1713.2754741240776,0.09248192449963456,0.4618960397710735
3354,-0.516373702538465,0.4656925047277814,-0.5920447350725618,0.6024743690846764,-237.2983385504456,-237.2983385504456,0.05845494881630758,0.21035867155673432
3355,-0.7499272120000429,0.6606973056884455,-0.7923625450477333,0.8150114243848845,-1733.9499973835236,-1733.9499993536035,0.3275737228160677,2.308912380570643
3356,-0.7049833102115817,0.6160091275147794,-0.756076798854988,0.7753333032278491,-1080.9936602406535,-1080.9936602406535,0.2347044563564293,1.8516743069293973
3357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3358,-0.7189828235807819,0.6312085390611558,-0.7334954676070042,0.7596972568190573,-2008.0917060013503,-2008.0917060013503,0.3260801138337166,2.7368621169731195
3359,-0.7471003581717788,0.6581168613524822,-0.74766827161692,0.7738284768631932,-3050.184662176846,-3050.184662176846,0.35938679518427086,2.9939063930747936
3360,-0.7214848223937937,0.6243748328692468,-0.777979262655423,0.8020767843200987,-5277.306146850593,-5316.640050314737,0.80355309707928,4.18020557689294
