ψ_kPa_100mm,ψ_kPa_200mm,ψ_kPa_400mm,ψ_kPa_600mm,ψ_kPa_800mm,ψ_kPa_1000mm,ψ_kPa_1200mm,date,ψ_kPa_eff,RWU,AET,ks
-3.4009928293044513,-4.648695411499954,-6.584870111050528,-5.941409365645362,-5.516345631218345,-5.350867823838539,-5.247624127058726,2024-10-04,-4.334293731740145,0.1449374339872426,0.12216939172010345,0.1
-6.07232550498048,-7.505103809221979,-9.203606389126572,-8.32301188242371,-7.619391114483934,-7.292795699859093,-6.786468847055344,2024-10-05,-7.198838067405401,0.21616299044642534,0.24176472349423653,0.1
-9.359901348885685,-10.45550816092007,-11.444688078733794,-10.334602452877816,-9.407196575448554,-8.964551117971238,-8.23906588355585,2024-10-06,-10.098948637602915,0.35374715375608934,0.36779305306926485,0.1
-11.386178236988744,-12.444620008860385,-13.211677138948973,-11.999279039716814,-10.952977601319771,-10.44466465576177,-9.591868125152624,2024-10-07,-11.976473052419959,0.17686266738269654,0.15595171439942568,0.1
-14.476764957828351,-14.773433328711853,-14.960798836812126,-13.607948865426799,-12.427472460704383,-11.851931910569341,-10.885425451168892,2024-10-08,-14.507858669903332,0.35783922926489214,0.3928783316882348,0.1
-2.207783206081136,-5.021956250003221,-12.425435865178018,-12.816087848533199,-12.631398187245459,-12.409669940644434,-11.750081920420762,2024-10-09,-2.5826483914097746,0.0779134360335693,0.01953223893701625,0.1
-2.361030208945497,-4.5237367581142145,-10.034874026493021,-10.486413849562213,-10.8222996959561,-10.954895427301587,-10.994615791268027,2024-10-10,-4.559778364651774,0.12178767284626701,0.1384013494553456,0.1
-0.449058208991126,-0.9764445649033959,-3.992079400411229,-4.886894196654508,-6.1278528103221594,-6.8552553463065795,-8.14129932662317,2024-10-11,-1.8628974395687963,0.21025922786919868,0.22174154833077941,0.1
-3.799653791989256,-5.157694001339286,-7.304344726566585,-6.713083634611666,-6.352323575680852,-6.2226215429809235,-6.1693106359262675,2024-10-12,-5.1575170448762915,0.3464569406717319,0.34187717523394134,0.1
-1.654734160524528,-3.264969134995178,-7.4791930690896,-7.477807285615495,-7.357886708504698,-7.268213935386695,-7.0397685383044255,2024-10-13,-3.6322303532193767,0.11617619076389593,0.11063500392266115,0.1
